year,word,n_articles,rank
2010,animal,3,1
2011,animal,0,1
2012,animal,2,1
2013,animal,3,1
2014,animal,2,1
2015,animal,2,1
2016,animal,4,1
2017,animal,6,1
2018,animal,8,1
2019,animal,4,1
2020,animal,3,1
2021,animal,10,1
2022,animal,2,1
2023,animal,7,1
2024,animal,5,1
2010,abuse,2,2
2011,abuse,0,2
2012,abuse,2,2
2013,abuse,0,2
2014,abuse,2,2
2015,abuse,1,2
2016,abuse,3,2
2017,abuse,6,2
2018,abuse,6,2
2019,abuse,3,2
2020,abuse,2,2
2021,abuse,6,2
2022,abuse,1,2
2023,abuse,6,2
2024,abuse,4,2
2010,people,3,3
2011,people,0,3
2012,people,2,3
2013,people,0,3
2014,people,1,3
2015,people,2,3
2016,people,3,3
2017,people,5,3
2018,people,4,3
2019,people,4,3
2020,people,2,3
2021,people,5,3
2022,people,3,3
2023,people,6,3
2024,people,2,3
2010,dog,3,4
2011,dog,0,4
2012,dog,2,4
2013,dog,0,4
2014,dog,2,4
2015,dog,0,4
2016,dog,3,4
2017,dog,1,4
2018,dog,6,4
2019,dog,3,4
2020,dog,2,4
2021,dog,5,4
2022,dog,2,4
2023,dog,4,4
2024,dog,3,4
2010,time,2,5
2011,time,0,5
2012,time,2,5
2013,time,0,5
2014,time,1,5
2015,time,1,5
2016,time,4,5
2017,time,5,5
2018,time,6,5
2019,time,2,5
2020,time,1,5
2021,time,5,5
2022,time,2,5
2023,time,2,5
2024,time,3,5
2010,pakistan,0,6
2011,pakistan,0,6
2012,pakistan,2,6
2013,pakistan,2,6
2014,pakistan,2,6
2015,pakistan,0,6
2016,pakistan,3,6
2017,pakistan,3,6
2018,pakistan,6,6
2019,pakistan,1,6
2020,pakistan,1,6
2021,pakistan,5,6
2022,pakistan,2,6
2023,pakistan,4,6
2024,pakistan,4,6
2010,day,2,7
2011,day,0,7
2012,day,2,7
2013,day,0,7
2014,day,0,7
2015,day,0,7
2016,day,2,7
2017,day,4,7
2018,day,6,7
2019,day,4,7
2020,day,2,7
2021,day,4,7
2022,day,1,7
2023,day,3,7
2024,day,3,7
2010,pet,3,8
2011,pet,0,8
2012,pet,2,8
2013,pet,2,8
2014,pet,1,8
2015,pet,0,8
2016,pet,1,8
2017,pet,4,8
2018,pet,0,8
2019,pet,4,8
2020,pet,1,8
2021,pet,5,8
2022,pet,2,8
2023,pet,3,8
2024,pet,2,8
2010,right,1,9
2011,right,0,9
2012,right,2,9
2013,right,2,9
2014,right,0,9
2015,right,2,9
2016,right,1,9
2017,right,4,9
2018,right,3,9
2019,right,1,9
2020,right,2,9
2021,right,4,9
2022,right,3,9
2023,right,2,9
2024,right,3,9
2010,live,1,10
2011,live,0,10
2012,live,1,10
2013,live,1,10
2014,live,2,10
2015,live,0,10
2016,live,1,10
2017,live,3,10
2018,live,4,10
2019,live,2,10
2020,live,1,10
2021,live,4,10
2022,live,2,10
2023,live,4,10
2024,live,3,10
2010,medium,2,11
2011,medium,0,11
2012,medium,0,11
2013,medium,0,11
2014,medium,0,11
2015,medium,1,11
2016,medium,1,11
2017,medium,1,11
2018,medium,4,11
2019,medium,2,11
2020,medium,2,11
2021,medium,7,11
2022,medium,0,11
2023,medium,5,11
2024,medium,4,11
2010,human,1,12
2011,human,0,12
2012,human,2,12
2013,human,1,12
2014,human,1,12
2015,human,2,12
2016,human,3,12
2017,human,3,12
2018,human,3,12
2019,human,1,12
2020,human,1,12
2021,human,3,12
2022,human,0,12
2023,human,4,12
2024,human,3,12
2010,karachi,0,13
2011,karachi,0,13
2012,karachi,2,13
2013,karachi,0,13
2014,karachi,1,13
2015,karachi,0,13
2016,karachi,3,13
2017,karachi,2,13
2018,karachi,3,13
2019,karachi,2,13
2020,karachi,1,13
2021,karachi,4,13
2022,karachi,1,13
2023,karachi,5,13
2024,karachi,4,13
2010,publish,0,14
2011,publish,0,14
2012,publish,0,14
2013,publish,0,14
2014,publish,0,14
2015,publish,1,14
2016,publish,1,14
2017,publish,3,14
2018,publish,4,14
2019,publish,4,14
2020,publish,2,14
2021,publish,5,14
2022,publish,0,14
2023,publish,6,14
2024,publish,2,14
2010,social,2,15
2011,social,0,15
2012,social,1,15
2013,social,0,15
2014,social,0,15
2015,social,1,15
2016,social,1,15
2017,social,2,15
2018,social,5,15
2019,social,2,15
2020,social,1,15
2021,social,6,15
2022,social,0,15
2023,social,3,15
2024,social,4,15
2010,kill,1,16
2011,kill,0,16
2012,kill,2,16
2013,kill,0,16
2014,kill,1,16
2015,kill,1,16
2016,kill,3,16
2017,kill,2,16
2018,kill,3,16
2019,kill,1,16
2020,kill,1,16
2021,kill,4,16
2022,kill,0,16
2023,kill,3,16
2024,kill,4,16
2010,welfare,2,17
2011,welfare,0,17
2012,welfare,2,17
2013,welfare,0,17
2014,welfare,1,17
2015,welfare,0,17
2016,welfare,3,17
2017,welfare,4,17
2018,welfare,3,17
2019,welfare,1,17
2020,welfare,0,17
2021,welfare,3,17
2022,welfare,1,17
2023,welfare,3,17
2024,welfare,3,17
2010,call,1,18
2011,call,0,18
2012,call,1,18
2013,call,2,18
2014,call,0,18
2015,call,1,18
2016,call,2,18
2017,call,2,18
2018,call,2,18
2019,call,2,18
2020,call,1,18
2021,call,4,18
2022,call,0,18
2023,call,4,18
2024,call,3,18
2010,government,1,19
2011,government,0,19
2012,government,2,19
2013,government,0,19
2014,government,0,19
2015,government,1,19
2016,government,2,19
2017,government,4,19
2018,government,1,19
2019,government,1,19
2020,government,3,19
2021,government,3,19
2022,government,1,19
2023,government,2,19
2024,government,4,19
2010,run,2,20
2011,run,0,20
2012,run,2,20
2013,run,0,20
2014,run,0,20
2015,run,1,20
2016,run,2,20
2017,run,4,20
2018,run,3,20
2019,run,2,20
2020,run,2,20
2021,run,4,20
2022,run,1,20
2023,run,1,20
2024,run,1,20
2010,treat,1,21
2011,treat,0,21
2012,treat,1,21
2013,treat,0,21
2014,treat,0,21
2015,treat,1,21
2016,treat,3,21
2017,treat,1,21
2018,treat,3,21
2019,treat,4,21
2020,treat,1,21
2021,treat,4,21
2022,treat,2,21
2023,treat,0,21
2024,treat,4,21
2010,bring,0,22
2011,bring,0,22
2012,bring,2,22
2013,bring,2,22
2014,bring,1,22
2015,bring,1,22
2016,bring,1,22
2017,bring,2,22
2018,bring,2,22
2019,bring,2,22
2020,bring,1,22
2021,bring,5,22
2022,bring,0,22
2023,bring,3,22
2024,bring,2,22
2010,country,2,23
2011,country,0,23
2012,country,2,23
2013,country,2,23
2014,country,0,23
2015,country,1,23
2016,country,2,23
2017,country,2,23
2018,country,3,23
2019,country,1,23
2020,country,1,23
2021,country,1,23
2022,country,0,23
2023,country,3,23
2024,country,4,23
2010,care,3,24
2011,care,0,24
2012,care,0,24
2013,care,0,24
2014,care,0,24
2015,care,2,24
2016,care,1,24
2017,care,2,24
2018,care,1,24
2019,care,2,24
2020,care,0,24
2021,care,3,24
2022,care,3,24
2023,care,3,24
2024,care,3,24
2010,activist,2,25
2011,activist,0,25
2012,activist,1,25
2013,activist,2,25
2014,activist,0,25
2015,activist,0,25
2016,activist,1,25
2017,activist,2,25
2018,activist,3,25
2019,activist,0,25
2020,activist,3,25
2021,activist,4,25
2022,activist,1,25
2023,activist,1,25
2024,activist,2,25
2010,cruelty,2,26
2011,cruelty,0,26
2012,cruelty,2,26
2013,cruelty,0,26
2014,cruelty,0,26
2015,cruelty,1,26
2016,cruelty,2,26
2017,cruelty,2,26
2018,cruelty,5,26
2019,cruelty,0,26
2020,cruelty,2,26
2021,cruelty,2,26
2022,cruelty,0,26
2023,cruelty,1,26
2024,cruelty,3,26
2010,law,2,27
2011,law,0,27
2012,law,1,27
2013,law,1,27
2014,law,0,27
2015,law,1,27
2016,law,1,27
2017,law,3,27
2018,law,2,27
2019,law,1,27
2020,law,2,27
2021,law,2,27
2022,law,0,27
2023,law,3,27
2024,law,3,27
2010,report,0,28
2011,report,0,28
2012,report,1,28
2013,report,1,28
2014,report,2,28
2015,report,1,28
2016,report,2,28
2017,report,1,28
2018,report,3,28
2019,report,4,28
2020,report,1,28
2021,report,2,28
2022,report,0,28
2023,report,3,28
2024,report,1,28
2010,start,2,29
2011,start,0,29
2012,start,0,29
2013,start,1,29
2014,start,0,29
2015,start,0,29
2016,start,2,29
2017,start,3,29
2018,start,2,29
2019,start,2,29
2020,start,1,29
2021,start,2,29
2022,start,2,29
2023,start,3,29
2024,start,2,29
2010,stray,2,30
2011,stray,0,30
2012,stray,1,30
2013,stray,0,30
2014,stray,1,30
2015,stray,0,30
2016,stray,2,30
2017,stray,2,30
2018,stray,0,30
2019,stray,1,30
2020,stray,2,30
2021,stray,4,30
2022,stray,1,30
2023,stray,3,30
2024,stray,3,30
